date,type,category,subcategory,amount,platform,merchant,item,method,status,note
2025-07-01 07:09:18,支出,消费,,35.0,Alipay,常州天宁禅寺,常州天宁禅寺,零钱,,/
2025-07-01 07:26:09,支出,消费,,30.0,Alipay,常州天宁禅寺,常州天宁禅寺,零钱,,/
2025-07-01 11:20:58,支出,出行,地铁,10.0,Alipay,江苏交通一卡通有限公司,充值,零钱,,/
2025-07-01 11:26:15,支出,会员,,25.0,Alipay,爱奇艺,黄金VIP会员连续包月,零钱,,/
2025-07-01 13:43:14,支出,生活,,3.0,Alipay,漫品茶生,订单：20250701134306350415,零钱,,/
2025-07-01 23:53:16,支出,生活,,14.4,Alipay,东大九龙湖校区梅园711店,南京金鹰便利超市管理有限公司,零钱,,/
2025-07-02 10:26:30,支出,消费,,24.8,Alipay,发给沈柔希,/,零钱,,/
2025-07-02 10:45:01,支出,餐饮,正餐,64.4,Alipay,肯德基,KFCWX10022515489867901915315,零钱,,/
2025-07-02 13:11:00,支出,消费,,0.0,Alipay,杨卓**你,富士柯达复古傻瓜一次性胶卷相机彩色冲洗黑白胶片乐魔lomo胶片机,,支付成功,
2025-07-02 15:39:52,支出,消费,,1.09,Alipay,南京金维鸟智能系统股份有限公司,小程序－微信支付,零钱,,/
2025-07-02 16:59:36,收入,消费,,0.76,Alipay,南京金维鸟智能系统股份有限公司,南京金维鸟智能系统股份有限公司,零钱,,/
2025-07-02 18:23:54,支出,消费,,20.0,Alipay,钟亦鸣,收款方备注:二维码收款,零钱,,/
2025-07-02 21:10:46,支出,生活,,10.0,Alipay,24H智能售货,先购后付,零钱,,/
2025-07-03 07:34:52,支出,生活,,8.5,Alipay,东大九龙湖校区梅园711店,南京金鹰便利超市管理有限公司,零钱,,/
2025-07-03 10:09:49,支出,话费,,50.0,Alipay,中国移动,为158****9917用户办理话费充值-订单编号:644234974005134906,零钱,,/
2025-07-03 11:08:57,收入,消费,,900.0,Alipay,沈柔希,转账备注:微信转账,/,,/
2025-07-03 14:01:22,支出,出行,火车,92.0,Alipay,莆田市忠湄轮渡有限责任公司,票务,零钱,,/
2025-07-03 14:44:21,支出,消费,,93.62,Alipay,小甜心,收款方备注:二维码收款,零钱,,/
2025-07-03 15:10:15,支出,会员,,15.0,Alipay,深圳市腾讯计算机系统有限公司,绿钻豪华版业务自动续费31天(为2335669274购买),零钱,,/
2025-07-03 15:43:31,支出,出行,机票酒店,240.0,Alipay,鸿福里民宿,鸿福里民宿,零钱,,/
2025-07-03 17:00:46,支出,餐饮,正餐,130.0,Alipay,莆田市湄洲岛沁园餐厅,莆田市湄洲岛沁园餐厅-消费,零钱,,/
2025-07-03 17:09:38,支出,生活,,72.0,Alipay,美宜佳,美宜佳闽03055店,零钱,,/
2025-07-04 07:26:08,支出,消费,,10.0,Alipay,海岛摄影,收款方备注:二维码收款,零钱,,/
2025-07-04 08:42:01,支出,餐饮,正餐,45.0,Alipay,莆田市湄洲岛王记小吃店(个体工商户),莆田市湄洲岛王记小吃店(个体工商户)-消费,零钱,,/
2025-07-04 11:50:10,支出,餐饮,正餐,141.0,Alipay,嘛嘛香小吃店,美团/大众点评点餐订单-07045026039886229182973,零钱,,/
2025-07-04 13:02:38,收入,餐饮,正餐,48.0,Alipay,嘛嘛香小吃店,嘛嘛香小吃店,零钱,,/
2025-07-04 16:19:04,支出,生活,,4.0,Alipay,莆田市秀屿区湄洲镇朝圣路庄庆美便利店,莆田市秀屿区湄洲镇朝圣路庄庆美便利店,零钱,,/
2025-07-04 17:53:17,支出,餐饮,正餐,150.0,Alipay,莆田市湄洲岛海岛时光私房菜（个体工商户）,莆田市湄洲岛海岛时光私房菜（个体工商户）,零钱,,/
2025-07-04 21:14:39,支出,餐饮,正餐,60.8,Alipay,美团,齐聚烧烤吧（海鲜小炒·湄洲岛崇福路店）-美团App-25070411100400001305860946839545,零钱,,/
